automaker,series,year,kilometers_traveled,condition,type,volume,origin,warranty_policy,weight,location,partner,price
Yamaha,Sirius,2014,17500.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,9700000.0
Yamaha,Nouvo,2010,22000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hải Phòng,1,3900000.0
Honda,Spacy,2002,100000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,47000000.0
Honda,Vision,2019,9876.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Khánh Hòa,0,48000000.0
Yamaha,Dòng khác,2022,5000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,40000000.0
Honda,Click,2011,55555.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,8500000.0
Honda,Lead,2014,3652.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,1,18500000.0
Honda,Wave,2010,123.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7500000.0
Honda,Vision,2018,26000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Nai,0,19500000.0
Honda,Winner X,2021,17000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,12500000.0
Yamaha,Mio,2022,3000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18800000.0
Honda,SH,2021,3000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Bến Tre,0,79000000.0
Yamaha,Jupiter,2013,33000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,13700000.0
Honda,Lead,2011,54000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9500000.0
Honda,Wave,2023,4700.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18500000.0
Honda,Air Blade,2018,6789.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,23300000.0
Yamaha,Grande,2015,20039.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18800000.0
Yamaha,Exciter,2015,31000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,19500000.0
Honda,Vario,2023,,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,39900000.0
Yamaha,Exciter,2022,1500.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Cần Thơ,1,35000000.0
Suzuki,Sport / Xipo,2003,,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Đắk Lắk,0,28000000.0
Suzuki,GD,2019,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,21500000.0
Honda,SH,2019,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,67000000.0
Yamaha,TFX,2020,12000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,30500000.0
Honda,Wave,2018,25000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,9300000.0
Honda,Air Blade,2012,32000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,11750000.0
Honda,Wave,2012,5454.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Nam Định,0,6500000.0
Yamaha,Exciter,2020,93210.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Bình Dương,0,23000000.0
Honda,Future,2017,3131.0,Đã sử dụng,Xe số,,Nước khác,Bảo hành hãng,> 50 kg,Nam Định,0,8900000.0
Honda,Wave,2007,123456.0,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hải Phòng,0,6900000.0
Honda,Future,2009,42191.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Nai,0,54000000.0
Honda,Chaly,1981,45000.0,Đã sử dụng,Tay ga,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,11500000.0
Honda,Winner X,2022,2400.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tiền Giang,0,25800000.0
Honda,Wave,2022,7000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,20000000.0
Honda,Future,2007,51151.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Đồng Nai,0,39000000.0
Honda,Wave,2012,35000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,8800000.0
Hãng khác,Dòng khác,2007,2678.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3000000.0
Honda,Vision,2020,18000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,26800000.0
Honda,Wave,2005,11111.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,13000000.0
Honda,Wave,2012,35000.0,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,10500000.0
Honda,Air Blade,2011,21160.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Đồng Nai,0,17800000.0
Honda,SH,2021,10000.0,Đã sử dụng,Tay ga,Không biết rõ,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,87500000.0
Yamaha,FZ,2015,5.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,23000000.0
Piaggio,Liberty,2016,20061.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,21500000.0
Yamaha,Exciter,2017,5.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,17000000.0
Yamaha,Exciter,2011,42000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,29000000.0
Honda,Dream,2010,20000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Thanh Hóa,0,16000000.0
Honda,Wave,2015,2000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,10600000.0
Honda,Wave,2012,212121.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Nam Định,0,6400000.0
Yamaha,Nouvo,2011,3838.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,5200000.0
Honda,SH,2005,61614.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Nam Định,0,23800000.0
Honda,Wave,2022,12000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,13000000.0
Kawasaki,Z1000,2017,20000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Cần Thơ,0,118000000.0
Yamaha,Exciter,2018,15400.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,28500000.0
Yamaha,Janus,2020,19000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,18500000.0
Honda,Vario,2020,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,37000000.0
Honda,Air Blade,2008,21000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hải Phòng,1,7800000.0
Yamaha,Jupiter,2002,22222.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,4800000.0
Yamaha,Exciter,2019,20000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,21500000.0
Honda,Dream,1999,100000.0,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,4800000.0
Honda,Future,2004,36000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,12500000.0
Hãng khác,Dòng khác,2018,6789.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,13300000.0
Honda,Dylan,2004,30000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,14000000.0
Honda,Rebel,2019,14000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Hà Nội,0,112000000.0
Suzuki,GD,2019,7000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,1,23500000.0
GPX,Demon 150GR,2021,2999.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Hà Nội,0,19500000.0
Honda,Winner X,2023,7000.0,Đã sử dụng,Tay côn/Moto,,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,27000000.0
Yamaha,Nouvo,2018,20.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Cần Thơ,0,17500000.0
Honda,Dream,2023,1000.0,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,31900000.0
Yamaha,Janus,2018,10000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,16000000.0
Honda,CB,2021,6900.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,188000000.0
Honda,SH,2018,10000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,75000000.0
Honda,Air Blade,2021,12000.0,Đã sử dụng,Tay ga,,Việt Nam,Bảo hành hãng,> 50 kg,Hải Phòng,0,34500000.0
Suzuki,Sport / Xipo,1998,999.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,,Tp Hồ Chí Minh,0,176000000.0
Honda,Wave,2017,30000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,12500000.0
Yamaha,Jupiter,2010,37000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7700000.0
SYM,Attila,2014,25000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,7200000.0
Piaggio,Vespa,2016,120000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,39900000.0
Honda,Dylan,2003,56789.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,12680000.0
Honda,Vario,2021,8000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Nai,0,34000000.0
Honda,Dream,2021,,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,13000000.0
Honda,Winner,2016,6789.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,21800000.0
Honda,Chaly,1980,58000.0,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3900000.0
Honda,Wave,2014,27500.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,8900000.0
Piaggio,Liberty,2012,22000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hải Phòng,1,8800000.0
Honda,SH,2016,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,55000000.0
Honda,Wave,2010,200000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Cần Thơ,0,8500000.0
Honda,SH Mode,2020,3000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,46000000.0
Suzuki,GD,2016,44000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18000000.0
Honda,Air Blade,2015,6789.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,19800000.0
Honda,SH Mode,2016,25000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,32000000.0
Kawasaki,Z300,2018,15000.0,Đã sử dụng,Tay côn/Moto,Không biết rõ,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,65000000.0
Honda,Vario,2021,13000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Cần Thơ,1,40000000.0
Honda,Vario,2021,1000.0,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Hà Nội,0,18500000.0
Yamaha,Jupiter,2012,20000.0,Đã sử dụng,Xe số,,Việt Nam,Bảo hành hãng,> 50 kg,Hải Phòng,0,13900000.0
Honda,Lead,2016,12345.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,22900000.0
Honda,SH Mode,2018,10000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,36500000.0
Honda,Future,2009,20.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,11900000.0
Honda,Click,2010,15.0,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,12500000.0
Honda,Wave,2015,25000.0,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,14000000.0
Suzuki,Sport / Xipo,1999,9999.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,198000000.0
Honda,Air Blade,2019,17000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,26800000.0
Honda,Air Blade,2008,30000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,10500000.0
Honda,Dream,1997,40000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,28700000.0
Honda,Air Blade,2008,37000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7300000.0
Honda,Lead,2015,25000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,16800000.0
Yamaha,Cuxi,2011,20000.0,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,32000000.0
Piaggio,Sprint,2023,1999.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,73800000.0
Honda,Vario,2021,6500.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,45500000.0
SYM,Attila,2009,,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,2700000.0
Honda,Lead,2018,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,25800000.0
Ducati,Monster,2020,9600.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,13500000.0
SYM,Attila,2012,21000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hải Phòng,1,5700000.0
Honda,SH,2013,19500.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,36500000.0
Honda,Cub,1985,179.0,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7200000.0
Hãng khác,Dòng khác,2020,2000.0,Đã sử dụng,Xe số,,Việt Nam,Bảo hành hãng,> 50 kg,Hải Phòng,0,7900000.0
Honda,Dylan,2005,6789.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,16800000.0
Suzuki,Satria,2019,6789.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,25800000.0
Honda,Vision,2020,8639.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,56000000.0
Piaggio,LX,2012,12000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,15000000.0
Honda,SH,2021,7000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,61000000.0
Honda,SH,2013,8239.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,139000000.0
Honda,SH,2010,,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,79999999.0
Yamaha,Sirius,2020,34567.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,,,Cần Thơ,0,10500000.0
Honda,Wave,2010,15000.0,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,8500000.0
Honda,Wave,2003,23000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Đồng Nai,0,14300000.0
Yamaha,R,2021,1000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,38000000.0
Yamaha,R,2020,3000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,34000000.0
SYM,Elizabeth,2010,30.0,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,Cần Thơ,0,3500000.0
Yamaha,MT,2021,5000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,50000000.0
GPX,Legend 200,2022,5000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,25000000.0
Brixton,BX 150,2020,15000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,20000000.0
Honda,Wave,2000,37890.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,46000000.0
GPX,Demon 150GR,2020,1000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,20000000.0
GPX,Legend 150S,2019,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,30000000.0
Honda,CBR,2022,800.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,52800000.0
Ducati,Monster,2018,12000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,12000000.0
Yamaha,TFX,2018,9000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,37000000.0
Yamaha,MT,2022,1000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,30000000.0
Piaggio,Fly,2012,25000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,6200000.0
Yamaha,R,2022,5000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,39000000.0
Honda,SH,2014,24000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,55800000.0
Honda,Winner,2017,2580.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Bình Dương,0,12800000.0
Honda,Air Blade,2016,25000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,22500000.0
Hãng khác,Dòng khác,2008,178.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,4200000.0
Yamaha,Nouvo,2015,34567.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,,,Cần Thơ,0,12500000.0
Honda,Air Blade,2021,9000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,An Giang,0,35000000.0
Yamaha,Mio,2009,30000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,4900000.0
Kawasaki,Z900,2018,15000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,159000000.0
Honda,Air Blade,2009,24000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,43800000.0
Honda,SH,2021,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,52000000.0
Kawasaki,Z900,2018,18000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,159000000.0
Honda,Cub,1996,22000.0,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Hà Nội,0,14500000.0
Kymco,K-Pipe,2020,14000.0,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,11500000.0
Honda,Vision,2013,25000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,14300000.0
Yamaha,Exciter,2013,2500.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,11800000.0
Honda,Vision,2022,,Mới,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,4999999.0
Kawasaki,Z300,2017,3000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Bến Tre,0,67500000.0
Yamaha,Janus,2017,20000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Bến Tre,0,16500000.0
Honda,Vision,2018,17000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Bến Tre,0,23500000.0
Piaggio,Vespa,2014,18500.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,14500000.0
Honda,Cub,2016,10000.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hải Phòng,1,4300000.0
Honda,Future,2006,29000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,27500000.0
Yamaha,Exciter,2011,30000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Bến Tre,0,17500000.0
Yamaha,Janus,2018,17000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Bến Tre,0,16500000.0
Yamaha,Exciter,2010,49000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,An Giang,0,58000000.0
